IP,Country,State,City,ApproxLat,ApproxLng
172.189.252.8,USA,VA,Dulles,38.955855,-77.447819
215.82.23.2,USA,OH,Columbus,39.961176,-82.998794
98.29.25.44,USA,OH,Cleveland,41.49932,-81.694361
68.199.40.156,USA,NY,Freeport,40.657602,-73.583184
155.100.169.152,USA,UT,Salt Lake City,40.760779,-111.891047
38.68.15.223,USA,TX,Dallas,32.776664,-96.796988
70.209.14.54,USA,FL,Tampa,27.950575,-82.457178
74.111.6.173,USA,VA,Arlington,38.87997,-77.10677
128.230.122.180,USA,NY,Syracuse,43.048122,-76.147424
128.122.140.238,USA,NY,New York,40.712784,-74.005941
56.216.127.219,USA,NC,Raleigh,35.77959,-78.638179
54.114.107.209,USA,NJ,Jersey City,40.728157,-74.077642
74.111.18.59,USA,NY,Syracuse,43.048122,-76.147424
8.37.70.170,USA,CA,Los Angeles,34.052234,-118.243685
8.37.70.77,USA,CA,Los Angeles,34.052234,-118.243685
8.37.70.112,USA,CA,Los Angeles,34.052234,-118.243685
8.37.70.226,USA,CA,Los Angeles,34.052234,-118.243685
8.37.70.99,USA,CA,Los Angeles,34.052234,-118.243685
8.37.71.43,USA,CA,Los Angeles,34.052234,-118.243685
8.37.71.25,USA,CA,Los Angeles,34.052234,-118.243685
8.37.71.69,USA,CA,Los Angeles,34.052234,-118.243685
8.37.71.9,USA,CA,Los Angeles,34.052234,-118.243685
8.37.71.57,USA,CA,Los Angeles,34.052234,-118.243685
